country,frequency
ISSN: 2381-0947,4
ISSN: 2332-6441,2
ISSN: 1530-1346,3
ISSN: 2767-7362,1
ISSN: 2327-6533,1
ISSN: 2643-6175,2
ISSN: 2473-7569,1
ISSN: 2378-895X,2
ISSN: 1558-1225,2
ISSN: 0537-9989,4
ISSN: 2375-0324,1
ISSN: 1738-9445,6
ISSN: 2637-9511,1
ISSN: 2154-7505,1
ISSN: 3064-9579,1
ISSN: 2640-7736,1
ISSN: 2161-8089,2
ISSN: 2473-4691,1
ISSN: 2158-2297,1
ISSN: 2325-0925,3
ISSN: 2374-9709,3
ISSN: 2573-3060,1
ISSN: 2472-8489,1
ISSN: 2326-6937,2
ISSN: 2687-6817,1
ISSN: 2575-4912,1
ISSN: 2159-3450,3
ISSN: 2162-1039,3
ISSN: 2155-1472,3
ISSN: 2378-8488,1
ISSN: 2166-8892,1
ISSN: 0149-645X,1
ISSN: 2835-3781,1
ISSN: 2576-7828,1
ISSN: 2165-4743,1
ISSN: 1948-2922,1
ISSN: 2338-185X,1
ISSN: 2836-3868,4
ISSN: 2687-7767,1
ISSN: 1092-8669,1
ISSN: 2160-5041,1
ISSN: 2766-2101,1
ISSN: 2330-2186,1
ISSN: 2156-8111,1
ISSN: 2771-6058,1
ISSN: 2377-7966,1
ISSN: 1949-209X,2
ISSN: 1803-7232,1
ISSN: 2163-5145,1
ISSN: 2164-5264,1
ISSN: 2161-377X,2
ISSN: 1558-4615,1
ISSN: 2330-5665,1
ISSN: 2472-7695,1
ISSN: 2687-878X,1
ISSN: 2162-7339,2
ISSN: 2379-5352,1
ISSN: 2161-1351,1
ISSN: 2768-4288,1
ISSN: 2158-4001,2
ISSN: 2157-4960,1
ISSN: 1530-1362,2
ISSN: 2379-190X,1
ISSN: 2377-0678,1
ISSN: 2155-8736,1
ISSN: 2163-4025,1
ISSN: 2150-6086,1
ISSN: 1550-445X,1
ISSN: 2771-6937,1
ISSN: 2831-7343,1
ISSN: 2834-8249,1
ISSN: 2768-1904,2
ISSN: 2300-5963,3
ISSN: 2330-4588,1
ISSN: 2837-5424,1
ISSN: 2521-1641,3
ISSN: 2160-4916,1
ISSN: 2374-8486,1
ISSN: 2151-0830,2
ISSN: 2573-3214,1
ISSN: 2641-8169,1
ISSN: 2831-5022,1
ISSN: 2159-4848,1
ISSN: 1063-3928,6
ISSN: 2152-9582,27
ISSN: 2158-3242,2
ISSN: 1930-529X,1
ISSN: 2694-2992,1
ISSN: 2162-1098,1
ISSN: 0197-2618,1
ISSN: 2155-8515,1
ISSN: 2165-4727,1
ISSN: 1092-8081,3
ISSN: 2770-7946,1
ISSN: 2332-662X,1
ISSN: 2158-2254,1
ISSN: 2153-7003,1
ISSN: 2157-4847,1
ISSN: 2162-1233,1
ISSN: 2767-9969,1
ISSN: 0840-7789,2
ISSN: 2165-3836,3
ISSN: 2576-8565,1
ISSN: 2576-3148,3
ISSN: 2049-3630,1
ISSN: 1948-9447,3
ISSN: 2771-5752,1
ISSN: 2166-7373,1
ISSN: 2372-9198,2
ISSN: 2160-1348,1
ISSN: 2831-7262,1
ISSN: 2379-7703,1
ISSN: 2377-5408,1
ISSN: 2161-5977,1
ISSN: 2324-8157,1
ISSN: 2158-9208,2
ISSN: 1842-0133,1
ISSN: 2770-159X,1
ISSN: 2837-4800,1
ISSN: 1541-1672,1
ISSN: 2155-6814,1
ISSN: 2159-1423,3
ISSN: 2326-8239,2
ISSN: 1071-0485,1
ISSN: 2767-7788,1
ISSN: 2376-6565,1
ISSN: 2157-5525,1
ISSN: 2161-816X,2
ISSN: 2640-0545,1
ISSN: 1550-6215,1
ISSN: 2832-8337,1
ISSN: 2837-2778,1
ISSN: 2164-2974,1
ISSN: 2767-9470,1
ISSN: 2151-478X,1
ISSN: 2154-963X,1
ISSN: 2473-7674,1
ISSN: 1949-0488,1
ISSN: 2475-2320,1
ISSN: 2470-6698,1
ISSN: 2161-4407,1
ISSN: 1946-0759,1
ISSN: 2165-4093,1
Type: Conference paper,3459
Type: Article,1074
Type: Review,52
Issue: C Type: Conference paper,1
Type: Conference review,199
Issue: 1 Type: Conference paper,5
Issue: 9 Type: Conference paper,1
Issue: 2 Type: Conference paper,1
Issue: 6 Journal Abbreviation: Software and Systems Modeling Type: Article,1
Issue: February Type: Conference paper,1
Issue: June Type: Conference paper,2
Proceedings Type: Conference review,1
Issue: January Type: Conference paper,6
Issue: December Type: Conference paper,4
ICIS 2014 Type: Conference paper,1
Issue: 4 Type: Conference paper,1
Issue: 1 BOOK 4 Type: Conference paper,1
