Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Country,Correct Gender
"Nakibayeva, Moldir",Moldir,female,0.9923589489870364,TRUE,1,Business processes and chains of Kazakhstan how do organisations start blockchain projects and evolve throughout?,$,,,,,,,Kazakhstan,TRUE
"Meyer, Britta",Britta,female,0.9999953850659278,TRUE,1,User-centric process modeling and enactment: The clavii BPM platform,$,,,,,,,Germany,TRUE
"Erbes, Jamie",Jamie,female,0.9870530365774224,TRUE,1,Evolving Social Media into Productivity Platforms,$,,,,,,,United States of America,TRUE
"Petcu, Dana",Dana,female,0.9991640173402454,TRUE,2,"Towards Cloud-enabled Business Process Management Based on Patterns, Rules and Multiple Models",Introduction to the Proceedings of the Workshop on Cloud-enabled Business Process Management (CeBPM) 2012,$,,,,,,Romania,TRUE
"Li, Qianwen",Qianwen,female,0.980841477,TRUE,1,Business-Oriented IoT-Aware Process Modeling and Execution,$,,,,,,,United States of America,TRUE
"Liu, Lu",Lu,female,0.9968039766756602,TRUE,2,The analysis method about change region of process model based on module,Analyzing method of change region in BPM based on module of Petri net,$,,,,,,United Kingdom,TRUE
"Del-Río-Ortega, Adela",Adela,female,0.999990801,TRUE,7,Measuring Performance in Knowledge-intensive Processes,Context-Aware Process Performance Indicator Prediction,Specification and automated design-time analysis of the business process human resource perspective,KPIshare: A collaborative space for BPM practitioners for full definitions and discussions on process KPIs,PPINOT tool suite: A performance management solution for process-oriented organisations,On the definition and design-time analysis of process performance indicators,Defining process performance indicators by using templates and patterns,$,Spain,TRUE
"Cui, Lizhen",Lizhen,female,0.9876757659044886,TRUE,3,Privacy-Preserving Cross-Organization Process Mining Based on Blockchain and Cryptography,A highly efficient algorithm towards optimal data storage and regeneration cost in multiple clouds,An Efficient Algorithm for Runtime Minimum Cost Data Storage and Regeneration for Business Process Management in Multiple Clouds,$,,,,,China,FALSE
"Gong, Xue",Xue,female,0.9738490518370408,TRUE,1,The design and implementation of process engine supporting absolute customization based on ITSM,$,,,,,,,Singapore,TRUE
"Kadiri, Soumaya El",Soumaya,female,0.9999923926235168,TRUE,1,Modeling business processes for PLM services integration in PLM system,$,,,,,,,Switzerland,TRUE
"Deviana, Angelica",Angelica,female,0.999996835,TRUE,1,Can Business Process Design Space Help Students Generate Innovative Process Redesign Ideas?,$,,,,,,,Indonesia,TRUE
"Poulovassilis, Alexandra",Alexandra,female,0.9999520604841556,TRUE,1,Database research challenges and opportunities of big graph data,$,,,,,,,United Kingdom,TRUE
"Lorenzo-Romero, Carlota",Carlota,female,0.9999978157056796,TRUE,1,Social networking sites as business tool: A study of user behavior,$,,,,,,,Spain,TRUE
"Fournier, Fabiana",Fabiana,female,0.9999972654407242,TRUE,5,Business artifacts with guard-stage-milestone lifecycles: managing artifact interactions with conditions and events,AI-augmented Business Process Management Systems: A Research Manifesto,Situation-Aware eXplainability for Business Processes Enabled by Complex Events,Model-informed LIME Extension for Business Process Explainability,Introducing the guard-stage-milestone approach for specifying business entity lifecycles,$,,,Israel,TRUE
"Radeschutz, Sylvia",Sylvia,female,0.9999828327471596,TRUE,1,Design-Time Process Optimization through Optimization Patterns and Process Model Matching,$,,,,,,,Germany,TRUE
"Kweon, In So",In,female,0.949785932,TRUE,1,ML-BPM: Multi-teacher Learning with Bidirectional Photometric Mixing for Open Compound Domain Adaptation in Semantic Segmentation,$,,,,,,,South Korea,FALSE
"Benzarti, Imen",Imen,female,0.974283695,TRUE,1,Towards an Agile Approach for Business Process Reengineering,$,,,,,,,Canada,TRUE
"Ponta, Serena E.",Serena,female,0.9999962616780754,TRUE,1,Assisting the deployment of security-sensitive workflows by finding execution scenarios,$,,,,,,,Germany,TRUE
